용어,정의
ACID,트랜잭션의 4대 성질(원자성 일관성 고립성 지속성)로 데이터 신뢰성을 보장하는 규칙
트랜잭션,여러 SQL 작업을 하나의 논리적 작업 단위로 묶어 모두 성공하거나 모두 실패하게 하는 처리
커밋(COMMIT),트랜잭션에서 수행한 변경사항을 확정하여 영구 반영하는 명령
롤백(ROLLBACK),트랜잭션 도중 오류나 취소 시 변경사항을 되돌리는 명령
세이브포인트(SAVEPOINT),트랜잭션 내부 중간 지점을 만들어 해당 지점까지만 부분 롤백 가능하게 하는 기능
격리수준(Isolation Level),동시에 실행되는 트랜잭션 간 데이터 간섭을 얼마나 허용할지 정하는 규칙
Read Uncommitted,커밋되지 않은 변경도 읽을 수 있어 더티리드가 발생할 수 있는 격리수준
Read Committed,커밋된 데이터만 읽어 더티리드는 막지만 논리적 반복 조회에서 값이 바뀔 수 있음
Repeatable Read,같은 트랜잭션에서 같은 행을 반복 조회하면 동일 결과를 보장하려는 격리수준
Serializable,트랜잭션을 순차 실행처럼 보이게 만들어 동시성은 낮지만 이상 현상을 가장 강하게 차단
더티 리드(Dirty Read),다른 트랜잭션의 커밋되지 않은 데이터를 읽는 현상
논리적 반복 불일치(Non-Repeatable Read),같은 조건으로 같은 행을 다시 조회했는데 값이 변경되어 결과가 달라지는 현상
팬텀 리드(Phantom Read),같은 조건으로 조회했는데 다른 트랜잭션의 INSERT로 행 수가 달라지는 현상
MVCC,읽기와 쓰기가 서로 방해하지 않도록 버전 기반으로 스냅샷을 제공하는 동시성 제어 방식
스냅샷(Snapshot),트랜잭션 시작 시점 기준으로 보이는 데이터 버전을 의미하며 MVCC의 기반이 됨
WAL,데이터 변경을 디스크에 쓰기 전에 로그를 먼저 기록해 장애 복구를 가능하게 하는 방식
Redo Log,장애 발생 시 커밋된 변경을 재적용하기 위한 로그
Undo Log,롤백이나 MVCC를 위해 변경 이전 상태로 되돌릴 수 있도록 기록하는 로그
인덱스(Index),검색을 빠르게 하기 위해 별도 구조로 키를 정렬/저장해 조회 성능을 높이는 구조
B-Tree 인덱스,범위 조회와 정렬에 강한 대표 인덱스 구조
Hash 인덱스,동등 비교(=)에 유리하지만 범위 조회에는 부적합한 인덱스 구조
GIN 인덱스,배열이나 JSON, 텍스트 검색 등 다중 값 인덱싱에 강한 인덱스(PostgreSQL에서 자주 사용)
BRIN 인덱스,대용량 시계열처럼 물리적 정렬이 있는 데이터에서 블록 단위 최소/최대만 저장해 공간을 절약하는 인덱스
클러스터링(Clustering),테이블 물리 저장 순서를 특정 인덱스 기준으로 재배열해 범위 조회 효율을 높이는 기법
정규화,중복을 줄이고 갱신 이상을 방지하기 위해 테이블을 분해하는 설계 원칙
반정규화,조회 성능을 위해 의도적으로 중복을 허용하거나 테이블을 합치는 설계 전략
조인(Join),여러 테이블을 키 관계로 결합해 필요한 정보를 한 번에 조회하는 연산
실행계획(Execution Plan),DB가 쿼리를 어떤 순서와 방식으로 수행할지 결정한 내부 계획
EXPLAIN,쿼리 실행 계획을 확인하는 키워드로 인덱스 사용 여부와 비용을 점검할 때 사용
EXPLAIN ANALYZE,실제 실행까지 수행하여 실제 시간/루프/행 수 등을 포함한 실행 계획을 보여주는 기능
커버링 인덱스,조회에 필요한 컬럼이 인덱스에 모두 포함되어 테이블 접근 없이 결과를 반환 가능한 인덱스
복합 인덱스,여러 컬럼을 묶어 만든 인덱스로 선두 컬럼 조건이 특히 중요함
카디널리티,컬럼 값의 중복 정도를 의미하며 일반적으로 높을수록 인덱스 효율이 좋음
파티셔닝,테이블을 물리적으로 여러 조각으로 나눠 관리해 대용량에서 성능/운영성을 높이는 기법
샤딩(Sharding),데이터를 여러 DB 서버로 분산해 수평 확장하는 방식
레플리케이션,한 DB의 데이터를 다른 DB로 복제해 고가용성/읽기 분산을 제공하는 방식
프라이머리-레플리카,쓰기 주 DB(Primary)와 읽기용 복제 DB(Replica)로 역할을 분리한 구성
락(Lock),동시 접근 시 데이터 일관성을 위해 특정 자원에 대한 접근을 제한하는 메커니즘
데드락(Deadlock),서로가 가진 락을 기다리며 영원히 진행되지 않는 상태
뷰(View),실제 데이터를 저장하지 않고 쿼리 결과를 가상 테이블처럼 제공하는 객체
머터리얼라이즈드 뷰,뷰 결과를 물리적으로 저장하여 조회를 빠르게 하는 객체(일반적으로 별도 갱신 필요)
트리거(Trigger),INSERT/UPDATE/DELETE 같은 이벤트 발생 시 자동으로 실행되는 DB 로직
저장 프로시저,DB 내부에 저장되는 실행 가능한 로직으로 네트워크 트래픽 감소와 보안/재사용성에 도움
